商品编码,品名,划线价,销售价,税费,利润,高级会员,蓝钻会员,红钻
HH00000324,法国Bioderma贝德玛卸妆水500ml蓝水,,120.1,12.1,28.06,0.28,0.56,0.84
HH00000326,日本KAO花王油污清洗剂泡沫型400ml 2瓶装,,83.4,8.4,16.98,0.17,0.34,0.51
zrrh1000042,澳洲Morning Fresh洗洁精澳橙茶树味400ml,,38.92,3.92,18.37,0.18,0.37,0.55
ZRMYYP100043,日本VAPE hello kitty驱蚊手表60日份,,142.34,14.34,42.19,0.42,0.84,1.27
zrbj000011,德国Doppelherz双心银杏叶精华胶囊40粒,,94.52,9.52,21.53,0.22,0.43,0.65
zrbj000021,美国Childlife童年时光维生素C补充液118.5ml ,,97.86,9.86,52.7,0.53,1.05,1.58
HH00000013,日本膳魔师THERMOS真空超轻保温杯JNL-502-SBR玫红500ml,,220.18,22.18,37.48,0.37,0.75,1.12
zrbj000042,美国Childlife童年时光纯净DHA胶囊益智补脑浆果风味90粒,,105.64,10.64,48.44,0.48,0.97,1.45
zrhz1000086,日本Loshi北海道马油 身体乳 485ml,,53.38,5.38,12.86,0.13,0.26,0.39
HH00000330,法国兰蔻Lancome 小黑瓶 精华肌底液100ml,,998.58,100.58,130.18,1.3,2.6,3.91
HH00000331,法国兰蔻Lancome 小黑瓶 升级精华肌底液50ml,,695,70,89.77,0.9,1.8,2.69
HH00000333,花王Curel珂润眼部保湿美容液紧致眼霜20g,,175.7,17.7,38.78,0.39,0.78,1.16
zrhz1000054,荷兰Jacob Hooy雅歌布玫瑰水500ml,,83.4,8.4,34.14,0.34,0.68,1.02
HH00000335,新西兰 Read Seal红印小苏打牙膏100G ,,42.26,4.26,19.57,0.2,0.39,0.59
HH00000336,澳洲 A'kin爱茵 橙花沐浴露 500ml,,164.58,16.58,42.34,0.42,0.85,1.27
HH00000337,澳洲 A'kin 爱茵檀香沐浴露 500ml,,164.58,16.58,42.34,0.42,0.85,1.27
HH00000338,澳洲 A'kin爱茵 熏衣草沐浴露 500ml,,164.58,16.58,42.34,0.42,0.85,1.27
HH00000339,澳洲 EGO意高 QV婴儿保湿润肤膏 250g,,97.86,9.86,28.18,0.28,0.56,0.85
HH00000340,日本 KISS YOU 负离子牙刷普通硬度紧凑型 颜色随机,,46.7,4.7,12.15,0.12,0.24,0.36
HH00000342,日本 Weight Control Ring 美腿脚环瘦腿环 燃烧脂肪 L,,72.28,7.28,16.05,0.16,0.32,0.48
HH00000344,澳大利亚Goat Soap山羊皂羊奶皂100g 坚果味,,32.25,3.25,14.64,0.15,0.29,0.44
HH00000346,韩国DIA FORCE GOLD钻石贵妇黄金眼膜 60片,,94.52,9.52,22.32,0.22,0.45,0.67
HH00000348,韩国Ryoe吕 绿吕洗发水 400ML,,53.38,5.38,11.67,0.12,0.23,0.35
HH00000349,日本大创Daiso水乳精华套装（水+乳+精华液）,,87.85,8.85,31.11,0.31,0.62,0.93
zrrh1000027,日本 小林制药KOBAYASHI眼药水护眼缓解疲劳消炎500ml（清凉度3-4度）,,127.88,12.88,43.51,0.44,0.87,1.31
zrrh1000034,澳洲Lamisil cream脚气膏15g,,94.52,9.52,18.24,0.18,0.36,0.55
zrrh1000043, Grans remedy老奶奶臭脚粉原味50g,,84.51,8.51,30.97,0.31,0.62,0.93
HH00000118,澳大利亚 Sukin苏芊 天然玫瑰保湿喷雾爽肤水 125ml ,,76.73,7.73,38.73,0.39,0.77,1.16
HH00000036,韩国iope亦博气垫N21,,220.18,22.18,55.47,0.55,1.11,1.66
HH00000361,美国美狮宝Prince Lionheart 多彩硅胶涂画餐垫 40*30cm 城市,,165.69,16.69,46.87,0.47,0.94,1.41
HH00000362,德国泰瑞美汉高Theramed 站立式牙膏 3支套装,,72.28,7.28,13.04,0.13,0.26,0.39
HH00000363,美国小鼻子Little Remedies婴儿防肠胃胀气肠绞痛 腹痛吐奶西甲硅油30ml,,83.4,8.4,21.21,0.21,0.42,0.64
HH00000368,美国麦肯齐Munchkin超软硅胶小勺子2个装,,75.62,7.62,32.55,0.33,0.65,0.98
HH00000372,澳大利亚意高EGO QV 婴儿温和洁肤润露 洗护沐浴二合一 250g,,83.4,8.4,27.17,0.27,0.54,0.82
HH00000375,日本BabySmile儿童软毛音波电动牙刷（粉色),,186.82,18.82,30.93,0.31,0.62,0.93
HH00000377,日本 嘉娜宝 Kracie 肌美精 药用抹茶祛痘保湿面膜 15毫升/片 5片装,,83.4,8.4,30.17,0.3,0.6,0.91
HH00000379,日本高丝KOSE皇家豪华版Clear Turn果冻面膜玻尿酸 4片,,72.28,7.28,23.59,0.24,0.47,0.71
HH00000380,日本 PROPOLINSE 比那氏除口臭杀菌漱口水100ml,,42.26,4.26,11.95,0.12,0.24,0.36
HH00000384,日本花王FLAIR抗皱消臭防静电衣物柔顺型洗衣液 缤纷水果570ml,,83.4,8.4,41.2,0.41,0.82,1.24
HH00000386,日本资生堂惠润柔净绿野芳香洗发水 600ml,,68.94,6.94,14.7,0.15,0.29,0.44
HH00000387,韩国Mediheal美迪惠尔可莱丝胶原蛋白面膜10片/盒,,108.98,10.98,20.83,0.21,0.42,0.62
HH00000391,韩国Mediheal美迪惠尔可莱丝P.D.F祛痘镇静舒缓面膜 10片装,,108.98,10.98,21.3,0.21,0.43,0.64
HH00000398,日本Kao花王无香护垫72片 3包装,,97.86,9.86,30.57,0.31,0.61,0.92
HH00000402,西班牙BYPHASSE蓓昂斯氨基酸温和保湿洁面乳 500ml,,72.28,7.28,18.57,0.19,0.37,0.56
HH00000403,西班牙BYPHASSE蓓昂斯蓝白卸妆湿巾 25片装,,53.38,5.38,10.98,0.11,0.22,0.33
HH00000404,西班牙BYPHASSE蓓昂斯牛奶蛋白卸妆巾 25片装,,53.38,5.38,10.98,0.11,0.22,0.33
HH00000405,西班牙BYPHASSE蓓昂斯粉白卸妆湿巾 25片装,,53.38,5.38,10.98,0.11,0.22,0.33
HH00000408,韩国SNP JELLY VITA维他命ㄠ补水面膜 30毫升/片 10片装,,97.86,9.86,24.54,0.25,0.49,0.74
HH00000410,韩国SNP海洋燕窝眼膜贴60片/盒 新款 黄金胶原蛋白眼膜,,120.1,12.1,54.23,0.54,1.08,1.63
HH00000411,资生堂丝蓓绮紫色椿树护发素500ml,,85.62,8.62,29.92,0.3,0.6,0.9
HH00000412,日本资生堂UNO男士劲爽磨砂洗面奶130g,,50.04,5.04,23.04,0.23,0.46,0.69
HH00000414,日本资生堂TSUBAKI丝蓓绮红色椿树 护发素500ml,,87.85,8.85,17.98,0.18,0.36,0.54
HH00000415,日本资生堂 ANESSA 温和脸部面部防晒乳SPF46 白瓶35ml,,220.18,22.18,44.25,0.44,0.89,1.33
HH00000416,日本资生堂UNO男士控油祛痘洗面奶 130g,,50.04,5.04,21.24,0.21,0.42,0.64
HH00000418,日本资生堂六角眉笔4号灰色,,32.25,3.25,7.24,0.07,0.14,0.22
HH00000419,日本资生堂六角眉笔1号黑色,,32.25,3.25,7.82,0.08,0.16,0.23
HH00000420,日本Shiseido资生堂水之印五合一面霜90ml,,153.46,15.46,41.82,0.42,0.84,1.25
HH00000421,日本 Shiseido/资生堂眼部精华 红妍肌活眼部精华露 水润柔滑 保湿补水 提拉 15ml,,475.94,47.94,58.76,0.59,1.18,1.76
HH00000422,日本SHISEIDO资生堂安全型修眉刀3支,,38.92,3.92,13.19,0.13,0.26,0.4
HH00000423,日本资生堂611棉花糖SHISEIDO 补水瘦脸拍拍棒1支,,53.38,5.38,8.94,0.09,0.18,0.27
HH00000425,日本 SHISEIDO 资生堂迷你睫毛夹1个,,86.74,8.74,20.79,0.21,0.42,0.62
HH00000427,韩国春雨布丁果冻面霜135ML 蜂蜜补水睡眠面膜,,164.58,16.58,42.34,0.42,0.85,1.27
HH00000428,韩国水光JAYJUN植物干细胞保湿面膜白色10片/盒,,116.76,11.76,24.15,0.24,0.48,0.72
HH00000429,韩国水光JAYJUN红玫瑰面膜10片/盒,,105.64,10.64,27.87,0.28,0.56,0.84
HH00000430,韩国水光JAYJUN黄金雪花黑面膜5片/盒,,120.1,12.1,28.25,0.28,0.57,0.85
HH00000432,韩国香蒲丽SHANGPREE黄金水光绿色面膜5片/盒,,175.7,17.7,35.77,0.36,0.72,1.07
HH00000433,韩国水光面膜新品JAYJUN抗雾霾水光补水面膜10片/盒,,127.88,12.88,31.75,0.32,0.64,0.95
HH00000434,澳洲Eaoron水光针胶原蛋白补水面膜 5片装,,120.1,12.1,35.88,0.36,0.72,1.08
HH00000435,澳洲Eaoron水光针光速补水美白面膜 5片装,,142.34,14.34,25.33,0.25,0.51,0.76
HH00000438,韩国兰芝滋润水乳套装,,389.2,39.2,104.37,1.04,2.09,3.13
HH00000441,韩国雪花秀洁面泡沫200ml,,221.29,22.29,47.04,0.47,0.94,1.41
HH00000442,韩国雪花秀精华露60ml,,509.3,51.3,101.32,1.01,2.03,3.04
HH00000444,韩国雪花秀玉容撕拉面膜50ML,,97.86,9.86,33.72,0.34,0.67,1.01
HH00000445,韩国雪花秀雨润夜间修护面膜30ml,,72.28,7.28,22.38,0.22,0.45,0.67
HH00000447,韩国雪花秀Sulwhasoo 滋阴水乳套盒 滋阴水乳+润燥精华三件套装,,1390,140,428.26,4.28,8.57,12.85
HH00000449,日本莎娜SANA 豆乳美白保湿滋润霜 50g,,94.52,9.52,32.28,0.32,0.65,0.97
HH00000451,日本莎娜豆乳sana美肤化妆水200ml,,97.86,9.86,49.51,0.5,0.99,1.49
HH00000452,日本莎娜sana豆乳美肤浓润化妆水200ml,,97.86,9.86,37.62,0.38,0.75,1.13
HH00000454,美国汤姆福特Tom Ford TF哑光黑管黑金唇膏口红 07#RUBY RUSH,,398.1,40.1,31.52,0.32,0.63,0.95
HH00000455,美国汤姆福特Tom Ford TF 哑光黑管黑金唇膏口红 10#CHERRYLUSH,,375.86,37.86,67.56,0.68,1.35,2.03
HH00000457,美国汤姆福特Tom Ford TF 黑金黑管口红/唇膏 热卖色16#SCARLET ROUGE,,375.86,37.86,43.28,0.43,0.87,1.3
HH00000462,日本诗留美屋Rosette洗面奶毛孔清洁洁面乳 黄色120g,,61.16,6.16,27.5,0.28,0.55,0.83
HH00000463,日本 ROSETTE 诗留美屋冰河泥洗面奶120g,,61.16,6.16,18.74,0.19,0.37,0.56
HH00000465,日本诗留美屋ROSETTE马油洁面膏120g,,54.49,5.49,12.67,0.13,0.25,0.38
HH00000466,日本诗留美屋Rosette去角质凝胶红色120g,,61.16,6.16,21.7,0.22,0.43,0.65
HH00000467,日本SPC蛇毒提拉紧致面膜50片,,83.4,8.4,28.99,0.29,0.58,0.87
HH00000468,日本 SPC薏米种子提取物面膜50片,,86.74,8.74,23.41,0.23,0.47,0.7
HH00000476,日本lion狮王防皱柔软剂650ml,,54.49,5.49,9.48,0.09,0.19,0.28
HH00000477,日本lion狮王蓬松感型柔软剂650ml,,54.49,5.49,9.48,0.09,0.19,0.28
HH00000478,日本lion狮王香味除臭柔软剂650ml,,53.38,5.38,11.83,0.12,0.24,0.35
HH00000479,日本lion狮王Look厕所用除菌抗菌清洁喷雾250ml,,53.38,5.38,11.83,0.12,0.24,0.35
HH00000481,日本 LION 狮王珍珠美白牙膏130g,,41.14,4.14,8.86,0.09,0.18,0.27
HH00000482,日本 KAO 花王药用纳米美白牙膏115g,,54.49,5.49,8.99,0.09,0.18,0.27
HH00000483,日本花王厨房泡沫漂白喷雾剂400ml,,43.37,4.37,8.9,0.09,0.18,0.27
HH00000484,英国芳芯femfresh女性护理液 百合,,52.26,5.26,9.4,0.09,0.19,0.28
HH00000488,日本 KOBAYASHI 小林制药除菌清洁马桶坐便湿巾10片,,35.58,3.58,9.27,0.09,0.19,0.28
HH00000489,日本 KOBAYASHI 小林制药下水道头发过滤网16片,,46.7,4.7,9.38,0.09,0.19,0.28
HH00000494,澳洲Swisse控制食欲维生素 减肥 50粒,,186.82,18.82,46.55,0.47,0.93,1.4
HH00000495,澳洲Swisse蜂胶胶囊 210粒,,186.82,18.82,53.72,0.54,1.07,1.61
HH00000496,澳洲Swisse辅酶Q10软胶囊150mg 50片,,164.58,16.58,38.26,0.38,0.77,1.15
HH00000498,澳洲swisse芹菜籽精华胶囊50粒,,97.86,9.86,25.99,0.26,0.52,0.78
HH00000499,澳洲Swisse 大豆卵磷脂软胶囊 150粒/瓶,,131.22,13.22,35.27,0.35,0.71,1.06
HH00000508,美国嘉宝Gerber田园番茄泡芙条42g（新旧包装随机发货）,,38.92,3.92,8.86,0.09,0.18,0.27
HH00000511,美国嘉宝Gerber香蕉磨牙饼干 142g,,38.92,3.92,15.58,0.16,0.31,0.47
HH00000515,美国加州宝宝驱虫液儿童防蚊防虫喷雾剂59ml,,73.39,7.39,21.45,0.21,0.43,0.64
HH00000516,日本狮王面包超人儿童草莓味牙膏40g,,32.25,3.25,8.45,0.08,0.17,0.25
HH00000519,德国施巴Sebamed婴幼儿洗发沐浴二合一200ml,,75.62,7.62,23.23,0.23,0.46,0.7
HH00000520,德国施巴婴儿柔润保湿面霜75ml,,83.4,8.4,23.19,0.23,0.46,0.7
HH00000525,法国圣罗兰YSL迷魅方管口红唇膏3.8g 27#玫红,,286.9,28.9,45.73,0.46,0.91,1.37
HH00000526,韩国AHC黄金锡纸面膜5片/盒,,142.34,14.34,24.54,0.25,0.49,0.74
HH00000527,韩国AHC玻尿酸竹子补水保湿面膜 5片装,,106.75,10.75,25.8,0.26,0.52,0.77
HH00000528,韩国 AHC B5 玻尿酸高效水合哩精华 50ML,,199.05,20.05,36.3,0.36,0.73,1.09
HH00000529,韩国AHC金箔水溶黄金玻尿酸爽肤水 140ml,,186.82,18.82,57.74,0.58,1.15,1.73
HH00000530,韩国AHC 洗面奶洁面 B5玻尿酸卸妆膏200ml,,142.34,14.34,48.77,0.49,0.98,1.46
HH00000534,韩国Whoo 后 拱辰享水妍洗面奶泡沫洁面乳 180ml,,227.96,22.96,71.18,0.71,1.42,2.14
HH00000166,澳洲 Nature's Way佳思敏儿童钙+维D3咀嚼软胶囊50粒,,110.09,11.09,42.27,0.42,0.85,1.27
zrrh1000004,英国Dimples杜碧斯脱毛膏泡沫喷雾摩丝慕斯200ml 柠檬香,,64.5,6.5,21.76,0.22,0.44,0.65
HH00000031,韩国爱丽小屋Etude House 双头高光修容棒1#,,77.84,7.84,9.2,0.09,0.18,0.28
HH00000269,日本Propolinse比那氏樱花复合漱口水600ml,,73.39,7.39,13.32,0.13,0.27,0.4
HH00000385,法国Eric Favre埃里克MassGainer乳清蛋白粉香草味1.1kg/罐,,242.42,24.42,61.15,0.61,1.22,1.83
zrhz1000183,日本CosmeDecorte黛珂紫苏水150ml,,386.98,38.98,91.34,0.91,1.83,2.74
HH00000535,日本纯微笑Pure Smile choosy滋润嘴唇水嫩唇膜 水蜜桃味 20片/盒,,153.46,15.46,31.15,0.31,0.62,0.93
HH00000537,日本纯微笑Pure Smile choosy滋润嘴唇水嫩唇膜 薄荷巧克力味 5片/盒,,52.26,5.26,9.08,0.09,0.18,0.27
HH00000538,日本纯微笑Pure Smile珍珠系列choosy滋润嘴唇水嫩唇膜 金珍珠5片/盒,,52.26,5.26,30.89,0.31,0.62,0.93
HH00000541,澳洲swisse 小黄瓜卸妆水 300ML,,75.62,7.62,22.83,0.23,0.46,0.68
HH00000542,澳洲 Swisse 玫瑰果油滋润护手霜（100ml）保湿不油腻,,97.86,9.86,46.98,0.47,0.94,1.41
HH00000544,澳洲 Swisse 维生素E保湿面霜 125ml,,75.62,7.62,18.57,0.19,0.37,0.56
HH00000545,澳洲 Swisse 甜杏仁洁面霜 125ml,,64.5,6.5,17.44,0.17,0.35,0.52
HH00000548,澳洲 Swisse 辅酶Q10保湿日霜50ml,,120.1,12.1,31.1,0.31,0.62,0.93
HH00000550,日本城野医生labo 深层洁净泡沫洁面乳120g,,142.34,14.34,35.36,0.35,0.71,1.06
HH00000554,韩国雪花秀滋阴4件套水乳精华面霜套装,,94.52,9.52,25.38,0.25,0.51,0.76
HH00000556,美国科颜氏kiehls高效保湿水250ml,,183.48,18.48,28.04,0.28,0.56,0.84
HH00000558,美国科颜氏Kiehl’s 黄瓜植物精华爽肤水 250ml,,186.82,18.82,28.22,0.28,0.56,0.85
HH00000559,美国科颜氏/Kiehl's清爽ㄠ面霜50ml,,264.66,26.66,46.6,0.47,0.93,1.4
HH00000560,日本膳魔师THERMOS真空保温杯JNL-503 CRG 0.5L黄色,,220.18,22.18,48.73,0.49,0.97,1.46
HH00000563,日本膳魔师THERMOS焖烧杯 300Ml黄色  JBQ-300 BNN,,242.42,24.42,46.81,0.47,0.94,1.4
HH00000570,法国圣罗兰YSL 新款黑管唇釉液体唇膏 405#,,309.14,31.14,24.47,0.24,0.49,0.73
HH00000571,韩国AHC B5玻尿酸套装 24K黄金玻尿酸三件套礼盒,,553.78,55.78,127.13,1.27,2.54,3.81
HH00000572,法国纪梵希Givenchy高级定制小羊皮唇膏205#正玫红,,298.02,30.02,31.75,0.32,0.64,0.95
HH00000581,日本小林制药强效祛疤膏15g,,97.86,9.86,12.99,0.13,0.26,0.39
HH00000582,法国纪梵希Givenchy禁忌之吻魔力粉黑管变色口红04#（两种包装随机发货）,,294.68,29.68,86.94,0.87,1.74,2.61
HH00000584,法国纪梵希Givenchy高级定制小羊皮唇膏210芭比粉,,316.92,31.92,50.09,0.5,1,1.5
HH00000585,法国纪梵希Givenchy高级定制小羊皮唇膏204#樱桃玫瑰,,316.92,31.92,42.52,0.43,0.85,1.28
HH00000586,法国纪梵希Givenchy高级定制小羊皮唇膏 202#优雅裸粉,,316.92,31.92,50.09,0.5,1,1.5
HH00000587,法国馥蕾诗Fresh玫瑰润泽爽肤水250ml,,353.62,35.62,98.21,0.98,1.96,2.95
HH00000588,法国馥蕾诗Fresh澄糖黄糖磨砂面膜125g,,498.18,50.18,133.17,1.33,2.66,4
HH00000590,法国 fresh 馥蕾诗玫瑰润泽密集保湿面霜50ml 补水锁水保湿,,375.8,37.86,56.63,0.57,1.13,1.7
HH00000593,法国贝德玛Bioderma 卸妆水旅行装100ml粉水 版本随机,,83.4,8.4,11.54,0.12,0.23,0.35
HH00000595,日本北海道Loshi 马油面霜220g,,42.26,4.26,8.68,0.09,0.17,0.26
HH00000598,泰国Beauty Buffet Q10牛奶乳液 150ml,,83.4,8.4,12.78,0.13,0.26,0.38
HH00000600,日本 UTENA 佑天兰matomage束发造型膏13g,,54.49,5.49,13.73,0.14,0.27,0.41
HH00000601,日本 UTENA 佑天兰KOGAOH 保湿紧致CCㄠ01明亮色 30g,,108.98,10.98,39.41,0.39,0.79,1.18
HH00000602,日本 UTENA 佑天兰PURESA维c美白保湿面膜5片,,72.28,7.28,26.25,0.26,0.53,0.79
HH00000603,日本 UTENA 佑天兰超保湿面膜玻尿酸 1片装,,42.26,4.26,8.73,0.09,0.17,0.26
HH00000604,日本 Utena 佑天兰艳肌胶原蛋白面膜4片装,,65.61,6.61,17.74,0.18,0.35,0.53
HH00000605,日本 UTENA 佑天兰超保湿面膜胶原蛋白 1片装,,43.37,4.37,7.39,0.07,0.15,0.22
HH00000606,日本 UTENA 佑天兰超保湿面膜金色 1片装,,44.48,4.48,4.39,0.04,0.09,0.13
HH00000610,法国迪奥Dior 瘾诱漆光黑管魅惑釉唇膏 3.2g 色号550,,286.9,28.9,37.57,0.38,0.75,1.13
HH00000611,法国迪奥Dior 瘾诱漆光黑管魅惑釉唇膏 3.2g 色号554,,286.9,28.9,42.69,0.43,0.85,1.28
HH00000613,法国迪奥Dior 瘾诱漆光黑管魅惑釉唇膏 3.2g 色号877,,264.66,26.66,52.72,0.53,1.05,1.58
HH00000617,法国Dior迪奥香水 旷野Sauvage男士淡香水  100ML,,731.7,73.7,97.75,0.98,1.96,2.93
HH00000621,法国迪奥Dior金色女郎真我女士浓香水50ML EDP,,776.18,78.18,96.61,0.97,1.93,2.9
HH00000633,荷兰雅歌布Jacob Hooy 天然洋甘菊防晒保湿紧致日霜 150ml,,65.61,6.61,17.99,0.18,0.36,0.54
HH00000635,日本LION狮王洗面奶控油祛痘去痘痘粉刺暗疮产品洁面乳膏80g,,86.74,8.74,15.72,0.16,0.31,0.47
HH00000637,日本皇后的面膜qualityfirst美白面膜5片,,72.28,7.28,27.17,0.27,0.54,0.82
HH00000638,日本皇后的秘密quality first多效合一美白眼膜60枚,,139,14,42.82,0.43,0.86,1.28
HH00000648,日本 ROHTO 乐敦白润美白化妆水爽肤水170ML,,83.4,8.4,20.96,0.21,0.42,0.63
HH00000658,韩国LG 睿嫣ReEn润膏 燕窝二合一洗发水 250ml,,64.5,6.5,13.6,0.14,0.27,0.41
HH00000659,意大利宝格丽（BVLGARI）紫晶纯香女士淡香水40ml,,220.18,22.18,31.93,0.32,0.64,0.96
HH00000671,美国伊丽莎白雅顿第五大道淡香水 125ml,,220.18,22.18,51.39,0.51,1.03,1.54
HH00000672,美国伊丽莎白雅顿绿茶香水50ML,,108.98,10.98,34.31,0.34,0.69,1.03
HH00000673,美国伊丽莎白雅顿银级眼霜 15ML,,164.58,16.58,43.36,0.43,0.87,1.3
HH00000674,美国伊丽莎白雅顿银级爽肤水150ML,,164.58,16.58,42.34,0.42,0.85,1.27
HH00000675,泰国Mistine Wings羽翼粉饼 S1#,,65.61,6.61,22.56,0.23,0.45,0.68
HH00000676,泰国Mistine Wings羽翼粉饼 S2#,,65.61,6.61,21.82,0.22,0.44,0.65
HH00000677,泰国正品 Mistine 大地色12色眼影盘,,65.61,6.61,15.91,0.16,0.32,0.48
HH00000679,泰国Mistine24小时不易脱妆粉底液 F1象牙白,,62.27,6.27,13.48,0.23,0.46,0.7
HH00000680,泰国Mistine24小时不易脱妆粉底液 F2自然色,,62.27,6.27,13.48,0.23,0.46,0.7
HH00000687,安娜苏(Anna Sui)幻境奇缘女士淡香水 50ml,,220.18,22.18,63.29,0.63,1.27,1.9
zrhz1000160,美国kiehl's科颜氏高保湿蛋白面霜125ml,,431.46,43.46,79.88,0.8,1.6,2.4
zrmyznk1000009,日本Merries花王拉拉裤L44,,120.1,12.1,34.71,0.35,0.69,1.04
zrmyznk1000010,日本Merries花王拉拉裤L44 2包装,,186.82,18.82,23.5,0.24,0.47,0.71
HH00000059,澳大利亚Gumption清洁膏绿色 500g,,76.73,7.73,42.81,0.43,0.86,1.28
zrmyznk1000007,日本Merries花王纸尿裤M64,,127.88,12.88,42.26,0.42,0.85,1.27
zrhz1000051,韩国雪花秀Sulwhasoo经典版气垫BB霜13# 带替换装,,320.26,32.26,45.76,0.46,0.92,1.37
zrmyfs100022,"美国Gerber嘉宝酸奶溶豆草莓	",,47.82,4.82,8.64,0.09,0.17,0.26
HH00000046,意大利Armani阿玛尼小胖丁唇釉#402,,375.86,37.86,41.31,0.41,0.83,1.24
HH00000085,意大利 Armani阿玛尼 红管唇釉 #501,,298.02,30.02,50.4,0.5,1.01,1.51
zrmyfs100012,美国Gerber嘉宝4段香蕉草莓苹果米粉227g,,53.38,5.38,13.67,0.14,0.27,0.41
HH00000450,日本莎娜SANA  豆乳美肌美白保湿乳液 超人气美白圣品 150ml,,86.74,8.74,34.28,0.34,0.69,1.03
HH00000464,日本诗留美屋Rosette药用硫磺洁面膏洗面奶蓝色款90g,,64.5,6.5,18.32,0.18,0.37,0.55
HH00000513,美国加州宝宝预防感冒婴儿桉树沐浴露384ml,,139,14,47.21,0.47,0.94,1.42
zrbj000063,澳洲STREAMLAND新溪岛 柠檬蜂蜜500g ,,125.66,12.66,36.21,0.36,0.72,1.09
zrhz1000050,韩国雪花秀Sulwhasoo经典版气垫BB霜21# 带替换装,,331.38,33.38,60.32,0.6,1.21,1.81
zrhz1000052,韩国Sulwhasoo雪花秀玉容撕拉面膜150ml,,220.18,22.18,45.27,0.45,0.91,1.36
zrhz1000053,韩国It‘s Skin 伊思晶钻蜗牛BB霜 50ml,,108.98,10.98,37.36,0.37,0.75,1.12
zrhz1000055,日本Kracie肌美精超浸透3D抗皱保湿蓝色4片,,65.61,6.61,16.72,0.17,0.33,0.5
zrhz1000056,法国Givenchy纪梵希小羊皮口红 315#,,298.02,30.02,72.84,0.73,1.46,2.19
zrhz1000057,美国Elta MD氨基酸泡沫洗面奶207ml,,150.12,15.12,25.97,0.26,0.52,0.78
zrhz1000058,美国Fresh馥蕾诗玫瑰润泽保湿面膜100ml,,420.34,42.34,66.28,0.66,1.33,1.99
zrhz1000059,美国kiehl's科颜氏白泥净致面膜 125ml,,264.66,26.66,49.86,0.5,1,1.5
zrhz1000060,美国kiehl's科颜氏高保湿蛋白保湿面霜50ml,,264.66,26.66,65.78,0.66,1.32,1.97
zrhz1000061,美国kiehl's科颜氏金盏花爽肤水250ml,,316.92,31.92,44.33,0.44,0.89,1.33
zrhz1000066,美国Tom Ford汤姆福特黑管唇膏口红 09#,,375.86,37.86,47.36,0.47,0.95,1.42
zrhz1000070,日本BB LABORATORIES 胎盘素PH按摩膏 300g/瓶,,186.82,18.82,43.52,0.44,0.87,1.31
zrhz1000071,日本 BEAUTY BAR 24k金美容黄金棒,,765.06,77.06,304.53,3.05,6.09,9.14
zrhz1000077,日本Minon蜜浓氨基酸保湿乳液100ml,,153.46,15.46,21.36,0.21,0.43,0.64
zrhz1000079,日本Nursery 柚子舒缓卸妆ㄠ180ml,,116.76,11.76,44.54,0.45,0.89,1.34
zrhz1000083,日本SK-II神仙水230ml,,1200.96,120.96,271.92,2.72,5.44,8.16
zrhz1000084,日本Spa treatment红蛇毒眼膜60枚/盒,,286.9,28.9,53.89,0.54,1.08,1.62
zrhz1000085,日本Utena佑天兰黄金果冻面膜蓝色 3片/盒,,64.5,6.5,19.72,0.2,0.39,0.59
zrhz1000087,日本城野医生化妆水100ml,,116.76,11.76,44.92,0.45,0.9,1.35
zrhz1000088,日本Naturie imju 薏仁美白保湿防晒化妆水 500ml,,65.61,6.61,17.74,0.18,0.35,0.53
